GUI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;;;x
537001;Head of State;Albert Liurette;1936;1964;1999;LE;Insignificant Layman;Very High;AFR_albert_liurette;x
537002;Head of State;Felix Houphouet-Boigny;1936;1964;1999;LWR;Popular Figurehead;High;M533018;x
537003;Head of State;Milton Margai;1936;1964;1999;LWR;Weary Stiffneck;High;M554011;x
537004;Head of Government;Albert Liurette;1936;1964;1999;LE;happy amateur;Very High;AFR_albert_liurette;x
537005;Head of Government;Felix Houphouet-Boigny;1936;1964;1999;LWR;corporate suit;High;M533018;x
537006;Head of Government;Albert Margai;1936;1964;1999;LWR;Political Protege;High;M554012;x
537007;Foreign Minister;Amílcar Lopes da Costa Cabral;1944;1964;1999;LWR;Apologetic Clerk;Very High;Costa Cabral;x
537008;Foreign Minister;Albert Margai;1936;1964;1999;LWR;The Cloak N Dagger Schemer;Very High;M554012;x
537009;Foreign Minister;Eustace Taylor Cummings;1936;1964;1999;LWR;Ideological Crusader;High;M554013;x
537010;Foreign Minister;Albert Liurette;1936;1964;1999;LE;Biased Intellectual;Very High;AFR_albert_liurette;x
537011;Foreign Minister;Lamina Sankoh;1936;1964;1999;LWR;General Staffer;Very High;M554015;x
537012;Foreign Minister;Felix Houphouet-Boigny;1936;1964;1999;LWR;Great Compromiser;High;M533018;x
537013;Foreign Minister;Milton Margai;1936;1964;1999;LWR;iron fisted brute;Very High;M554011;x
537014;Minister of Armament;Fode Mamadou Toure;1936;1964;1999;LWR;Administrative Genius;Very High;Toure;x
537015;Minister of Armament;Albert Liurette;1936;1964;1999;LE;Theoretical Scientist;Very High;AFR_albert_liurette;x
537016;Minister of Armament;Lamina Sankoh;1936;1964;1999;LWR;Military Entrepreneur;Medium;M554015;x
537017;Minister of Armament;Loffo Camara;1945;1964;1999;LWR;Tank Proponent;Very High;Camara;x
537018;Minister of Armament;Auguste Denise;1936;1964;1999;LWR;Air Superiority Proponent;Very High;M533064;x
537019;Minister of Armament;Kande Bureh;1936;1964;1999;LWR;Infantry Proponent;Very High;M554017;x
537020;Minister of Armament;Diawadou Barry;1936;1964;1999;LWR;Strategic Air Proponent;Very High;Barry1;x
537021;Minister of Armament;Felix Houphouet-Boigny;1936;1964;1999;LWR;Resource Industrialist;Very High;M533018;x
537022;Minister of Armament;Étienne Djaument;1936;1964;1999;LE;Battle fleet Proponent;Very High;Djaument;x
537023;Minister of Armament;Albert Margai;1936;1964;1999;LWR;Corrupt Kleptocrat;Very High;M554012;x
537024;Minister of Armament;Ahmad Sekou Toure;1942;1964;1999;LWR;Laissez-Faire Capitalist;Very High;M537020;x
537025;Minister of Armament;Victor Biaka Boda;1936;1964;1999;LWR;Submarine Proponent;Very High;Boda;x
537026;Minister of Armament;Sanak Stephens;1936;1964;1999;LWR;air to ground proponent;Very High;M554020;x
537027;Minister of Armament;Isaac Theophilus Akunna Wallace-Johnson;1936;1964;1999;LE;air to sea proponent;Very High;Wallace-Johnson;x
537028;Minister of Security;Ahmad Sekou Toure;1942;1964;1999;LWR;Crime Fighter;Medium;M537020;x
537029;Minister of Security;Philippe Grégoire Yacé;1940;1964;1999;LWR;Man of the People;Very High;Yacé;x
537030;Minister of Security;Eustace Taylor Cummings;1936;1964;1999;LWR;Efficient Sociopath;Very High;M554013;x
537031;Minister of Security;Milton Margai;1936;1964;1999;LWR;Prince of Terror;Very High;M554011;x
537032;Minister of Security;Albert Liurette;1936;1964;1999;LE;Silent Lawyer;Very High;AFR_albert_liurette;x
537033;Minister of Security;Albert Margai;1936;1964;1999;LWR;Crooked Kleptocrat;Very High;M554012;x
537034;Minister of Security;Fode Mamadou Toure;1936;1964;1999;LWR;Compassionate Gentleman;Very High;Toure;x
537035;Minister of Security;Amílcar Lopes da Costa Cabral;1944;1964;1999;LWR;Back Stabber;Very High;Costa Cabral;x
537036;Head of Military Intelligence;Eustace Taylor Cummings;1936;1964;1999;LWR;Political Specialist;Very High;M554013;x
537037;Head of Military Intelligence;Albert Liurette;1936;1964;1999;LE;Technical Specialist;Very High;AFR_albert_liurette;x
537038;Head of Military Intelligence;Albert Margai;1936;1964;1999;LWR;Dismal Enigma;Very High;M554012;x
537039;Head of Military Intelligence;Kande Bureh;1936;1964;1999;LWR;Logistics Specialist;Medium;M554017;x
537040;Head of Military Intelligence;Felix Houphouet-Boigny;1936;1964;1999;LWR;Industrial Specialist;Very High;M533018;x
537041;Head of Military Intelligence;Boubacar Diallo Telli;1945;1964;1999;LWR;Naval Intelligence Specialist;Very High;Telli;x
537042;Chief of Staff;Kande Bureh;1936;1964;1999;LWR;School of Mass Combat;Very High;M554017;x
537043;Chief of Staff;Loffo Camara;1945;1964;1999;LWR;School of Fire Support;Medium;Camara;x
537044;Chief of Staff;Lamina Sankoh;1936;1964;1999;LWR;School of Defence;Very High;M554015;x
537045;Chief of Staff;Emmanuel Cummings;1936;1964;1999;LWR;School of Manoeuvre;Very High;unknown;x
537046;Chief of Staff;Sanak Stephens;1936;1964;1999;LWR;School of Psychology;Very High;M554020;x
537047;Chief of Army;Kande Bureh;1936;1964;1999;LWR;Decisive Battle Doctrine;Very High;M554017;x
537048;Chief of Army;Loffo Camara;1945;1964;1999;LWR;Armoured Spearhead Doctrine;Very High;Camara;x
537049;Chief of Army;Lamina Sankoh;1936;1964;1999;LWR;Static Defence Doctrine;Very High;M554015;x
537050;Chief of Army;Emmanuel Cummings;1936;1964;1999;LWR;Elastic Defence Doctrine;Very High;unknown;x
537051;Chief of Army;Sanak Stephens;1936;1964;1999;LWR;Guns and Butter Doctrine;Medium;M554020;x
537052;Chief of Navy;Victor Biaka Boda;1936;1964;1999;LWR;Indirect Approach Doctrine;Very High;Boda;x
537053;Chief of Navy;Raymond Sarif Easmon;1936;1964;1999;LWR;Base Control Doctrine;Medium;unknown;x
537054;Chief of Navy;Étienne Djaument;1936;1964;1999;LE;Decisive Naval Battle Doctrine;Very High;Djaument;x
537055;Chief of Navy;Boubacar Diallo Telli;1945;1964;1999;LWR;Open Seas Doctrine;Very High;Telli;x
537056;Chief of Navy;Isaac Theophilus Akunna Wallace-Johnson;1936;1964;1999;LE;Power Projection Doctrine;Very High;Wallace-Johnson;x
537057;Chief of Air Force;Sanak Stephens;1936;1964;1999;LWR;Army Aviation Doctrine;Very High;M554020;x
537058;Chief of Air Force;Isaac Theophilus Akunna Wallace-Johnson;1936;1964;1999;LE;Naval Aviation Doctrine;Very High;Wallace-Johnson;x
537059;Chief of Air Force;Auguste Denise;1936;1964;1999;LWR;Air Superiority Doctrine;Medium;M533064;x
537060;Chief of Air Force;Diawadou Barry;1936;1964;1999;LWR;Carpet Bombing Doctrine;Very High;Barry1;x
537061;Chief of Air Force;Raymond Sarif Easmon;1936;1964;1999;LWR;Vertical Envelopment Doctrine;Very High;unknown;x
537062;Head of State;Ernest Samuel Beoku-Betts;1936;1964;1999;ML;Benevolent Gentleman;Very High;Beoku-Betts;x
537063;Head of Government;Ernest Samuel Beoku-Betts;1936;1964;1999;ML;Flamboyant Tough Guy;Very High;Beoku-Betts;x
537064;Foreign Minister;Humonya;1936;1964;1999;ML;Ideological Crusader;Very High;Madam_Humonya;x
537065;Foreign Minister;Comigna Sano;1936;1964;1999;ML;General Staffer;Very High;unknown;x
537066;Foreign Minister;Ernest Samuel Beoku-Betts;1936;1964;1999;ML;Apologetic Clerk;Very High;Beoku-Betts;x
537067;Foreign Minister;John Karefa Smart;1936;1964;1999;ML;Great Compromiser;Very High;M554016;x
537068;Minister of Armament;John Karefa Smart;1936;1964;1999;ML;Resource Industrialist;Very High;M554016;x
537069;Minister of Armament;Comigna Sano;1936;1964;1999;ML;Military Entrepreneur;Very High;unknown;x
537070;Minister of Armament;François-Joseph Amon d'Aby;1939;1964;1999;ML;Infantry Proponent;Very High;d'Aby;x
537071;Minister of Armament;Mamba Sano;1945;1964;1999;ML;Tank Proponent;Very High;Sano;x
537072;Minister of Armament;Keita Fodiba;1941;1964;1999;ML;air to sea proponent;Very High;M537019;x
537073;Minister of Armament;Christian Lattier;1945;1964;1999;ML;Submarine Proponent;Very High;Lattier;x
537074;Minister of Armament;Louis Lansana Beavogui;1943;1964;1999;ML;Strategic Air Proponent;Very High;Beavogui;x
537075;Minister of Armament;Humonya;1936;1964;1999;ML;Corrupt Kleptocrat;Very High;Madam_Humonya;x
537076;Minister of Security;Comigna Sano;1936;1964;1999;ML;Back Stabber;Very High;unknown;x
537077;Minister of Security;Ernest Samuel Beoku-Betts;1936;1964;1999;ML;Man of the People;Very High;Beoku-Betts;x
537078;Minister of Security;John Karefa Smart;1936;1964;1999;ML;Crime Fighter;Medium;M554016;x
537079;Minister of Security;Humonya;1936;1964;1999;ML;Crooked Kleptocrat;Very High;Madam_Humonya;x
537080;Head of Military Intelligence;John Karefa Smart;1936;1964;1999;ML;Industrial Specialist;Very High;M554016;x
537081;Head of Military Intelligence;Comigna Sano;1936;1964;1999;ML;Logistics Specialist;Very High;unknown;x
537082;Head of Military Intelligence;Frédéric Bruly Bouabré;1943;1964;1999;ML;Naval Intelligence Specialist;Very High;Bouabré;x
537083;Chief of Staff;Comigna Sano;1936;1964;1999;ML;School of Psychology;Very High;unknown;x
